id,merchantName
2448,Viagogo
2453,Lloydspharmacy
2455,UK Sport Imports Ltd
2457,Filofax UK
2459,Top CashBack
2462,Overstocks2Clear
2465,Media Storehouse
2476,Barcelo Hotels &amp; Resorts
2479,Topman
2484,Hampergifts.co.uk
2490,Scottish Friendly
2495,Ordnance Survey
2500,Virginia Hayward Hampers
2872,Missguided
2506,Simply Home Entertainment
2507,St Michel Hotels
2515,Clarks
2516,Ideal World
2517,Lovell Rugby Limited
2518,Lovell Soccer
2527,Moda in Pelle
2525,Ted Baker
2526,ghd
2530,Swarovski Crystal
2535,The Golfers Club
2536,Wiltshire Farm Foods
2537,Sweatband.com
2546,Insure4sport
2547,The Hut
2549,Zavvi
2553,Kiddicare
2555,BeyondTelevision
2556,Al Fresco Holidays
2560,888ladies.com
2562,MOO
2566,Oak Furniture Solutions
2569,Trendy Golf
2578,Trunki
2584,Cancer Research UK - Online Shop
2832,Footasylum
2592,Skatehut
2593,Imagine Ireland
2594,BreakFree Holidays
2596,Domino&#39;s Pizza
2617,Marks and Spencer Personalised
2606,M and M Direct IE
2609,MovieMail Ltd
2630,Riu Hotels &amp; resorts
2610,Angels Fancy Dress
2622,Tenpin Ltd
2627,Magazine Subscriptions
2632,Walt Disney Travel Company: Florida Holidays
2638,Spartoo.co.uk
2642,Emma Bridgewater
2646,Vitabiotics
2658,lenstore.co.uk
2659,The Gentlemans Shop
2884,AllPosters.co.uk
2671,Best Western Hotels Great Britain
2673,anyvan
2677,Consoles and Gadgets
2678,Megabus
2681,Irish Ferries
2685,Wolford Online Boutique
2689,John Lewis Car Insurance
2690,Ebuyer
2692,Phase Eight
2694,Base.com
2695,GhostBikes.com
2698,Chain Reaction Cycles
2699,Simply Paving
2701,Great Days Out
2729,Opodo
2734,eChemist
2957,Scholastic
2744,John Lewis Home Insurance
2745,John Lewis Pet Insurance
2746,John Lewis Travel Insurance
2749,SmartBuyGlasses
2751,Topdoginsurance
2753,Pai Skincare
2755,Travelodge IE
2760,Hotels Viva
2761,Design Hotels
2764,Watch Shop
2780,Sarenza
2804,Red Candy Ltd
2805,Coast
2806,Coast &amp; Country Cottages
2807,Habitat
2810,Bras &amp; Honey
2815,John Lewis Wedding Insurance
2816,Electricshopping Ireland
2828,Hargroves Cycles
2834,Asda Groceries
2847,Holidaylettings.co.uk
2849,Clickgolf.co.uk
2854,Coopers of Stortford
2855,The Celtic Manor Resort Ltd
2871,Forever Unique
3100,House of Fraser
2873,BitDefender
2878,Zest Beauty
2879,Barker and Stonehouse
2887,London Zoo
2894,Goddiva
2897,STORM
2973,Plusnet Broadband
2901,Lyle and Scott
2903,World of Baths
2908,Gamola Golf
2913,The Guide Dogs for the Blind Association
2918,Pontins
2920,Argento
2921,Oxfam Online Shop
2925,Asda George
2935,Hoburne Holiday Parks
2940,Zooplus.co.uk
2943,ShopTo.Net
2951,Oregon Scientific
2955,The Gourmet Society
2956,Perfume Plus Direct
2961,Magazines Direct
2966,TomTom
2968,Trampoline Warehouse
2972,Walls and Floors
2974,Plusnet Business Broadband
2981,Attitude Clothing
2991,Escentual
2992,Jack Wills
2993,HiFX
3003,MaxCleavage.com
3010,Sealife
3011,The Dungeons
3014,Simple Landlord Insurance
3015,Weddingplan insurance
3016,Simple Caravan Insurance
3017,WHSmith
3019,Tub Collection
3020,The Sofa Company
3026,Jacamo
3027,Simply Be
3028,Fifty Plus
3029,Marisota
3030,Fashion World
3031,House of Bath
3032,JD Williams
3033,Julipa
3035,Premier Man
3041,BT Broadband
3042,BT Business Broadband
3043,BT Shop
3051,Gift Ideas For Two
3057,Surfmountain.com
3058,Pet Plan
3063,Pet Plan Equine
3069,888games.com
3082,Artisanti
3084,Wink Bingo
3085,Equifax
3089,Littlewoods
3090,very.co.uk
3109,Crocs
3119,Musto.com
3122,My Photo Puzzle
3125,Subscription Save
3129,Party Pieces
3131,Machine Mart
3133,Hughes
3134,startriteshoes.com
3135,Menkind
3139,Father Christmas Letters
3140,888 Casino
3141,888 Poker
3157,BT Business Direct
3169,Neals Yard Remedies
3170,Van Meuwen
3180,Sunglasses Shop
3193,Swiss International Air Lines
3196,Myprotein
3202,buymobiles.net
3206,Inghams
3208,French Connection
3209,Great Plains
3217,Great Rail Journeys
3219,My M&amp;M&#39;s
3228,The Brilliant Gift Shop
3234,O2 Recycle
3235,O2 Mobiles
3238,O2 Mobile Broadband
3242,O2 Freesim
3247,Treatwell (UK)
3253,LA Muscle
3259,Rail Discoveries
3271,The All in One Company
3278,Kelkoo
3279,Under Armour
3295,Feather &amp; Black
3296,Medion
3297,The Garden Furniture Centre Ltd
3311,Waltons IE
3314,Waltons
3317,Sykes Cottages
3321,Hawes &amp; Curtis
3326,Ryman
3329,Made.com
3334,AX Paris
3336,UK Tool Centre
3337,HQhair.com
3379,Christies Direct
3355,Whittard of Chelsea
3356,Zalando UK
3361,Merlin Cycles
3369,bgo.com
3370,Wedgwood
3373,F1 Autocentres
3382,UGG
3383,Teva
3395,Rutland Cycling
3398,Presents for Men
3418,The Whisky Barrel
3422,payasUgym.com
3423,Baukjen
3428,pabo.com
3637,Paperchase
3450,QHotels
3454,Boux Avenue
3456,Expedia UK
3460,Hallstone Direct
3461,Bonmarch
3462,Cyclestore
3463,Camping World
3464,Portable Universe
3466,365ink
3469,Ample Bosom
3477,Select Fashion
3478,Tyre Shopper
3480,Viking
3481,Firstaidwarehouse.co.uk
3483,Vestry Online
3484,totes ISOTONER
3489,SpaBreaks.com
3494,Airparks
3495,Park BCP
3496,Holiday Extras
3497,Show and Stay
3501,Chessington Holidays
3502,Thorpe Breaks
3503,LEGOLAND Holidays
3509,Wallpaperdirect
3510,Trampoline Collection
3514,Orange PAYG
3516,EE Home Broadband
3524,Crieff Hydro Hotel &amp; Resort
3525,National Gallery
3526,letsgo2
3527,Designerpaint
3528,Glasses Direct
3535,Regattaoutlet.co.uk
3540,CRUISE
3545,Multiyork Furniture
3546,wimdu.co.uk
3549,Go Outdoors
3553,JustYou
3556,Tickettree.com
3557,Diamonds Factory
3558,craghoppers.com
3564,Glow.co.uk
3566,Radisson Blu
3567,Park Inn
3570,Riverford
3572,GorgeousCouture.Com
3574,DrinkSupermarket.com
3578,Twinings Teashop
3584,red5.co.uk
3586,Audio Visual Online
3589,Ticketmaster UK
3590,Geniegadgets.com
3592,Brantano
3595,Wowcher.co.uk
3596,Monster Supplements
3597,CalendarClub.co.uk
3599,giffgaff
3604,Mybag.com
3606,Raileasy
3610,DFDS Seaways
3611,Hearing Direct
3613,Surveys.co.uk
3615,LateRooms.com
3617,Hotels.com
3620,MicksGarage.com
3622,Coverwise.co.uk
3624,Hilton
3633,British Corner Shop
3628,Slendertone
3631,PRC Direct
3634,NONNON
3636,Vertbaudet
3643,Pharmacy First
3645,The Present Finder
3650,Natural Collection
3651,Ethical Superstore
3655,On The Beach
3657,The STI Clinic
3659,Cartridge People
3660,Allsole
3667,Radisson Blu Edwardian UK
3670,Easyvoyage.co.uk
3674,TalkTalk Phone and Broadband
3676,BrandAlley
3679,The May Fair Hotel UK
3681,QuoteSearcher
3682,SCS
3685,Monarch Flights
3690,USN (UK) LIMITED
3691,Waitrose
3698,Proporta
3708,AllSaints
3719,Find My Supplies
3721,Eurocamp
3738,Anglian Home Improvements (Lead Generation)
3741,Jones and Jones Fashion
3744,Rock My Vintage Ltd
3749,GlossyBox
3810,GB Posters
3754,M&amp;S Energy
3758,Get Me In &amp; Seatwave
3768,Day Long
3759,High Street TV
3765,Experience Mad
3766,Apricot
3771,Aviva Travel Insurance
3772,Bravissimo
3774,Euroffice
3775,Sheilas&#39; Wheels Home Insurance
3776,Sheilas&#39; Wheels Motor Insurance
3779,Skiset
3780,Dare2b
3783,Denny and Sons
3785,esure Car Insurance
3786,esure Home Insurance
3787,Waterstones
3788,Aviva Home Insurance Programme
3790,RAC
3793,Energy Helpline
3798,Aviva Car Insurance
3804,RAC Home Insurance
3805,Flannels
3811,Building Supplies Online
3819,Elvi
3823,Galaxy Perfume
3826,Worldstores
3830,Art.co.uk
3831,Bodybuilding Warehouse
3837,Rajapack
3842,Tombola
3844,Haven Holidays
3849,Park Resorts
3850,Snapfish.co.uk
3851,Snapfish Ireland
3856,Shearings Holidays
3862,SuperBreak.com
3866,Fineflora
3870,HOTEL INFO
3892,Virgin Trains
3898,Hungry House
3899,Urban Surfer
3904,Go Ape
3911,BSI
3920,Stuarts London
3922,LOVETheatre
3925,LivingSocial - UK
3926,Garden Trading
3927,Christian Aid
3932,The AA UK Breakdown
3936,Mesh Affiliate Programme
3937,Homecrafts.co.uk
3938,The AA Car Insurance
3939,Saga Car Insurance
3940,Saga Holidays
3941,Saga Travel Insurance
3942,Saga Home Insurance
3943,Saga Health Insurance
3944,The AA European Breakdown
3946,The AA Home Insurance
3947,The AA Travel Insurance
3953,AA Loans
3955,Saga Term Life Insurance
3964,My 1st Years
3965,Scribbler
3977,ProBikeKit
3983,Monarch Holidays
