id,merchantName
380997,Pull&Bear DE
380986,Pull&Bear IT
380643,GEOX ES
380563,HONGKONG YOINS CO. LIMITED
380468,Solid & Striped
379991,Jawbone
379947,Poppyshop
379946,Miss Pap
379892,Eyewearbrands.com
379837,Rebecca Minkoff US
379828,Mother Denim
379821,karmaloop
379803,Coach Stores Limited
379513,Gemporia
379401,Sweaty Betty US
379306,Dickies
379134,Hope SE
378987,Juicy Couture
378953,TK Maxx
378952,Private White VC
378940,Mamas & Papas
378712,Rokit Vintage
378126,Ted Baker
378121,Larsson & Jennings
377910,Folli Follie
377862,Happy Socks
377816,Geox
375565,Bogner (Global)
375529,SurfStitch - Australia
375199,Taylor Morris Eyewear
375197,Reformation
375184,"Kenneth Cole Productions, Inc."
375164,Draper James
375003,Lord & Taylor
374996,'Bjornborg.com '
374990,South Beach Official
374911,Jawbone
374788,Annoushka
374772,Aftershock
374641,Calypso St. Barth
374260,Solace London
374194,Stella McCartney UK
373561,La Garconne
373498,Stradivarius IT
373497,Stradivarius BE
373203,OBEY Clothing
373095,Matthew Williamson
372861,mistress rocks
372858,M.Gemi
372846,David Jones
372842,Café du Cycliste
371338,Portero
370897,Pam & Gela
370223,Burberry
369831,Levis Netherlands
369828,Levis Italy
369676,Levis France
369646,Couverture & The Garbstore
369518,Little Black Dress
369463,Charlotte Tilbury (UK)
368489,ZAFUL.com
368229,Are You Am I
367764,Loblaws Inc.
367740,3.1 Phillip Lim
367140,'Bjornborg.com '
366880,Slam Jam Socialism
366870,Sunglass Hut UK
366439,Trouva
366267,Moeva
366265,UNIFORM WARES
366263,Shore Projects
366241,Axel Arigato
366240,Amuse Society
366204,Very Exclusive
366031,Intermix
365300,Liberty
365291,Vanmildert
365281,Stradivarius FR
365271,Stradivarius POLAND
365269,Stradivarius DE
364629,Timex UK
363923,Nicole Farhi
363465,Nylon
363415,A.P.C.
363236,The Fame Agency -Orelia
361685,Eastpak De
361508,Vince LLC
361359,Anthropologie (FR)
361344,Geox DE
361316,Vans
361315,The North Face
360945,Pacific Sunwear of California Inc
360939,Jane Norman
360859,Velvet by Graham & Spencer
360777,Kipling Nl
360715,Roland Mouret
360650,Kipling De
360139,Mara Hoffman
359841,Kipling Es
359705,House Of Watches
359618,Rocket Dog |Kelsi Dagger Brooklyn| Pour La Victoire
359518,Monnier Frères ROW
359457,Zatchels UK Limited
358760,Barratts
358673,Lola Rose
358467,Amazon.co.uk Geo CA
358461,Amazon.com Geo CA
358384,SurfStitch
357950,G.H. Bass
357776,Bionda Castana Milano Ltd
357608,Beaverbrooks
357534,Dune (FR)
357533,Dune (DE)
357260,The Frye Company (old)
357204,Cloggs (JD Sports)
357007,The Idle Man
356641,Obey Clothing
356589,Little Mistress Us
356491,Converse
356225,Smallable
356051,Farfetch EU
355961,Amazon.co.uk Geo
355959,Amazon.com Geo
355782,Shelikes
355647,Ernest Jones
355528,East Dane
355503,Sebago (UK) Wolverine Europe Retail Ltd
355318,Farfetch FR
355302,Bally Schuhfabriken AG
354583,Everlane
353550,MATCHESFASHION.COM - AU / ASIA PACIFIC
353548,Moschino
352448,ASOS
352363,Millet Sports
352358,Italist
348215,L.K. Bennett
347294,Closet Clothing
347289,Dr Martens
345002,LOVEHATS.COM
320743,ELOQUII
302018,BCBG
300001,BCBGeneration
285183,Bellfield
280308,Antonioli
275530,Carnet de Mode Ltd
243810,Wildfox Couture US
229629,Rocket Dog
228263,Menlook
